,name_other,name_cmc,ticker_symbol_cmc,token_type,vc_support_blockchain_specialist,vc_support_general,registration_country,legal_structure,industry,celebrity_endorsement,ico_successful,investors_have_governance_rights,kyc/aml_procedure,legal_form_and_jurisdiction_known,"length_of_crowdsale_(calendar_days,_actual)",team_size,time_to_listing_(calendar_days),total_amount_raised_(usdm),use_of_proceeds_mentioned,whitepaper_page_count,is_active
177,Dynamic Trading Rights,Dynamic Trading Rights,DTR,Utility-token,No,No,United Kingdom,joint-stock corporation,Trading & Exchanges,0,1.0,0,0,1,31,6.0,14.0,15.0,1,19.0,1
179,EBCoin,EBCoin,EBC,Utility-token,No,No,Singapore,joint-stock corporation,Travel & Tourisim,0,1.0,0,1,1,29,10.0,171.0,9.0,1,34.0,0
180,Ecobit,Ecobit,ECOB,Security,No,No,unknown,unknown,Agriculture,0,1.0,0,0,0,38,10.0,20.0,0.0,0,16.0,0
181,Electrify.Asia (ELEC),Electrify.Asia,ELEC,Utility-token,No,Global Brain,Singapore,joint-stock corporation,Marketplaces,0,1.0,0,1,1,8,,7.0,27.0,1,18.0,1
182,Electroneum,Electroneum,ETN,Utility-token,No,No,United Kingdom,joint-stock corporation,Blockchain Infrastructure,1,1.0,0,0,1,36,12.0,14.0,41.0,1,26.0,1
183,EncrypGen,EncrypGen,DNA,Utility-token,No,No,United States,limited liability partnership,Drugs & Healthcare,0,1.0,0,0,1,48,4.0,125.0,0.0,0,11.0,1
187,EncryptoTel [WAVES],EncryptoTel [WAVES],ETT,Utility-token,No,No,unknown,unknown,Communications,0,1.0,1,0,0,18,3.0,30.0,5.0,0,15.0,0
190,Enigma,Enigma,ENG,Utility-token,Digital Currency Group; Pantera Capital; Fenbushi,Flybridge,United States,joint-stock corporation,Marketplaces,0,1.0,0,0,1,2,4.0,-517.0,45.0,1,14.0,1
193,Enjin Coin,Enjin Coin,ENJ,Cryptocurrency,No,No,Singapore,limited liability partnership,Video Games & VR,0,1.0,0,0,1,29,8.0,1.0,35.0,1,34.0,1
194,Envion,Envion,EVN,Security,No,Quadrat Capital; Catagonia Limited,Switzerland,joint-stock corporation,Cryptocurrency Mining,0,1.0,1,1,1,31,9.0,32.0,100.0,1,61.0,1
197,Ethbits,Ethbits,ETBS,Security,No,No,United Kingdom,joint-stock corporation,Trading & Exchanges,0,1.0,0,0,1,29,3.0,19.0,1.0,0,10.0,0
198,Ethereum Movie Venture,Ethereum Movie Venture,EMV,Security,No,No,Switzerland,other,Events & Entertainment,0,1.0,0,0,1,57,8.0,-28.0,3.0,0,0.0,0
199,Etherparty,Etherparty,FUEL,Utility-token,No,No,United States,joint-stock corporation,Blockchain Infrastructure,0,1.0,0,1,1,29,12.0,1.0,34.0,0,26.0,1
201,ETHLend,ETHLend,LEND,Utility-token,No,No,Estonia,joint-stock corporation,Finance,0,1.0,0,1,1,33,21.0,-27.0,29.0,1,40.0,0
202,Everex,Everex,EVX,Utility-token,No,No,Singapore,joint-stock corporation,Finance,0,1.0,0,1,1,39,9.0,40.0,26.0,1,27.0,1
203,FidentiaX,FidentiaX,FDX,Utility-token,No,No,Marshall Islands,joint-stock corporation,Insurance,0,1.0,0,1,1,31,4.0,27.0,2.0,0,26.0,0
204,FintruX Network (FTX),FintruX Network,FTX,Utility-token,No,No,Singapore,joint-stock corporation,Finance,0,1.0,0,1,1,53,6.0,54.0,19.0,1,47.0,1
206,FirstBlood,FirstBlood,1ST,Utility-token,No,No,United States,joint-stock corporation,Video Games & VR,0,1.0,0,0,1,1,4.0,2.0,6.0,1,26.0,0
207,Flixxo,Flixxo,FLIXX,Utility-token,No,No,Gibraltar,unknown,Content Management,0,1.0,0,0,0,31,5.0,3.0,5.0,1,26.0,1
208,FundYourselfNow,FundYourselfNow,FYN,Security,No,No,Singapore,unknown,Finance,0,1.0,0,0,0,49,6.0,4.0,2.0,1,13.0,1
210,FunFair,FunFair,FUN,Utility-token,KR1; BlockTower Capital; Pantera Capital,No,United Kingdom,joint-stock corporation,Gambling & Betting,0,1.0,0,1,1,2,30.0,4.0,26.0,1,23.0,1
211,Fusion,Fusion,FSN,New Blockchain,No,Eastmore Group; Alpview Capital,Singapore,joint-stock corporation,Finance,0,1.0,0,0,1,10,10.0,6.0,43.0,0,60.0,1
212,Gameflip,FLIP,FLP,Utility-token,No,Bullpen Capital; GoAhead Ventures; Social Starts,United States,joint-stock corporation,Video Games & VR,0,1.0,0,0,1,109,7.0,95.0,0.0,1,42.0,1
213,Gatcoin,Gatcoin,GAT,Utility-token,No,No,Hong Kong,joint-stock corporation,Commerce & Advertising,0,1.0,0,0,1,2,8.0,6.0,16.0,1,38.0,1
216,Genaro Network,Genaro Network,GNX,Utility-token,BlockAsset Fund;Collinstar Capital; Node Capital; Star Capital; Aware Capital; LinkVC; ChainPE; Tally Capital,No,Singapore,foundation,Blockchain Infrastructure,0,1.0,0,1,1,14,8.0,18.0,30.0,1,59.0,1
218,Gifto,Gifto,GTO,Utility-token,No,No,Cayman Islands,joint-stock corporation,Payments,0,1.0,0,1,1,2,7.0,4.0,30.0,1,54.0,1
219,Giga Watt Token,Giga Watt Token,WTT,Utility-token,No,No,Singapore,joint-stock corporation,Cryptocurrency Mining,0,1.0,0,0,1,62,15.0,33.0,21.0,1,29.0,0
220,Gladius,Gladius Token,GLA,Utility-token,No,No,United States,limited liability partnership,Privacy & Security,0,1.0,0,1,1,81,9.0,5.0,21.0,1,38.0,0
222,Gnosis,Gnosis,GNO,Utility-token,No,No,Gibraltar,joint-stock corporation,Data Analytics,0,1.0,0,0,1,1,8.0,9.0,12.0,1,49.0,1
223,Golem,Golem,GNT,Utility-token,Nirvana Capital,No,Switzerland,limited liability partnership,Cloud Computing,0,1.0,0,0,1,3,12.0,5.0,8.0,1,28.0,1
224,Grid+,Grid+,GRID,Utility-token,No,No,United States,joint-stock corporation,Energy & Utilities,0,1.0,0,1,1,13,11.0,-10.0,75.0,1,64.0,1
226,GUTS,GET Protocol,GET,Utility-token,No,No,Netherlands,foundation,Events & Entertainment,0,1.0,0,0,1,29,8.0,29.0,8.0,1,41.0,1
230,Hacken,Hacken,HKN,Utility-token,No,No,British Virgin Islands,joint-stock corporation,Privacy & Security,0,1.0,0,0,1,31,5.0,42.0,4.0,0,34.0,0
231,HADE,Hade Platform,HADE,Cryptocurrency,No,No,United States,limited liability partnership,Data Analytics,0,1.0,0,0,1,57,31.0,96.0,,1,46.0,0
232,Hdac,Hdac,HDAC,New Blockchain,No,No,Switzerland,foundation,Blockchain Infrastructure,0,1.0,0,1,1,26,17.0,222.0,210.0,1,25.0,0
233,HelloGold,HelloGold,HGT,Security,No,500 Startups; The FinLab,Singapore,foundation,Finance,0,1.0,0,1,1,41,19.0,7.0,14.0,1,27.0,0
236,hero token (HERO),Hero,HERO,Utility-token,No,No,British Virgin Islands,joint-stock corporation,Finance,0,1.0,0,1,1,28,,83.0,36.0,0,21.0,1
244,Hive,Hive Project,HVN,Security,No,No,British Virgin Islands,joint-stock corporation,Finance,0,1.0,0,0,1,29,9.0,41.0,,0,19.0,1
245,Hubii Network,Hubii Network,HBT,Utility-token,No,IVA Ventures,Singapore,joint-stock corporation,Content Management,1,1.0,0,0,1,16,,31.0,7.0,1,38.0,0
247,Humaniq,Humaniq,HMQ,Cryptocurrency,No,No,Luxembourg,limited liability partnership,Finance,1,1.0,0,0,1,23,14.0,15.0,3.0,0,24.0,1
248,Iconomi,Iconomi,ICN,Security,No,No,Saint Vincent and the Grenadines,joint-stock corporation,Finance,0,1.0,0,1,1,33,9.0,4.0,11.0,1,10.0,0
251,ICOS,ICOS,ICOS,Utility-token,No,No,Singapore,limited liability partnership,Finance,0,1.0,1,0,1,32,22.0,38.0,8.0,0,33.0,0
252,iDice,iDice,ICE,Security,No,No,unknown,unknown,Gambling & Betting,0,1.0,0,0,0,15,,-3.0,0.0,1,12.0,1
256,iExec RLC,iExec RLC,RLC,Utility-token,No,No,France,joint-stock corporation,Cloud Computing,0,1.0,0,0,1,1,18.0,1.0,12.0,1,40.0,1
257,Ignis,Ignis,IGNIS,Utility-token,No,No,Switzerland,joint-stock corporation,Blockchain Infrastructure,0,1.0,0,0,1,92,4.0,39.0,15.0,1,57.0,1
258,Incent,Incent,INCNT,Cryptocurrency,No,No,Australia,joint-stock corporation,Commerce & Advertising,0,1.0,0,0,1,61,8.0,7.0,1.0,0,10.0,0
259,indaHash,indaHash,IDH,Utility-token,No,No,Ireland,limited liability partnership,Social Networks,0,1.0,0,1,1,22,16.0,35.0,56.0,1,31.0,1
260,Indorse,Indorse Token,IND,Utility-token,Coinsilium,No,Singapore,joint-stock corporation,Social Networks,0,1.0,0,1,1,33,8.0,12.0,9.0,1,41.0,1
262,Insights Network,Insights Network,INSTAR,Utility-token,No,No,Cayman Islands,unknown,Data Analytics,0,1.0,0,1,0,19,11.0,17.0,18.0,1,24.0,1
263,InsurePal,VouchForMe,IPL,Utility-token,No,No,Liechtenstein,joint-stock corporation,Insurance,1,1.0,0,1,1,1,48.0,3.0,17.0,1,51.0,1
264,InvestFeed,InvestFeed,IFT,Utility-token,No,No,United States,joint-stock corporation,Trading & Exchanges,0,1.0,0,0,1,16,,6.0,,0,37.0,1
266,IP Exchange (IPSX),IP Exchange,IPSX,Utility-token,No,No,Switzerland,joint-stock corporation,Marketplaces,0,1.0,1,1,1,6,6.0,22.0,8.0,1,15.0,0
267,Iungo,Iungo,ING,Utility-token,No,No,Estonia,joint-stock corporation,Communications,0,1.0,0,0,1,56,10.0,4.0,23.0,1,25.0,1
269,iXledger,IXT,IXT,Utility-token,No,No,United Kingdom,limited liability partnership,Finance,0,1.0,0,0,1,3,6.0,14.0,8.0,1,15.0,1
271,Jibrel Network,Jibrel Network,JNT,Utility-token,No,No,Switzerland,joint-stock corporation,Finance,0,1.0,0,1,1,31,12.0,40.0,33.0,1,8.0,0
272,KICKICO,KickCoin,KICK,Cryptocurrency,No,No,Singapore,joint-stock corporation,Finance,0,1.0,0,1,1,19,19.0,18.0,22.0,0,25.0,1
275,Kik,Kin,KIN,Cryptocurrency,Blockchain Capital; Pantera Capital,No,Canada,joint-stock corporation,Blockchain Infrastructure,0,1.0,0,1,1,15,20.0,1.0,99.0,0,28.0,1
276,Komodo,Komodo,KMD,New Blockchain,No,No,unknown,unknown,Blockchain Infrastructure,0,1.0,0,0,0,37,,77.0,0.0,0,7.0,1
277,Kyber Network,Kyber Network,KNC,Utility-token,Pantera Capital; Kenetic Capital,No,Singapore,joint-stock corporation,Trading & Exchanges,0,1.0,0,1,1,4,7.0,6.0,59.0,1,19.0,1
278,Lamden,Lamden,TAU,New Blockchain,No,No,Switzerland,limited liability partnership,Blockchain Infrastructure,0,1.0,0,0,1,70,5.0,4.0,25.0,1,13.0,1
280,Latium,LatiumX,LATX,Utility-token,No,No,United States,joint-stock corporation,Marketplaces,1,1.0,0,0,1,65,10.0,62.0,17.0,1,19.0,0
