,id,name,symbol,slug,rank,displayTV,is_active,first_historical_data,last_historical_data,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,platform
236,11067,Step Hero,HERO,step-hero,2398.0,1,1,2021-08-15T16:15:06.000Z,2022-10-28T09:55:00.000Z,1839.0,BNB,BNB,bnb,0xE8176d414560cFE1Bf82Fd73B986823B89E4F545,
237,18189,Solhero Finance,HERO,solhero-finance,8996.0,1,1,2022-02-18T09:35:00.000Z,2022-10-28T09:55:00.000Z,5426.0,Solana,SOL,solana,Hero6s7zJXsw9hfCXLVR5stLqgCok3E7CCkpQEoLAk2g,
238,1805,Sovereign Hero,HERO,sovereign-hero,,1,0,2017-07-11T06:30:40.000Z,2019-02-08T18:29:03.000Z,,,,,,
239,8315,HeroSwap,HERO,heroswap,,1,0,,,1027.0,Ethereum,ETH,ethereum,0x3ba11cf73c2da5e87ae7bc159e12f7dfd9fde8c9,
240,10315,FarmHero,HERO,farmhero,,1,0,2021-06-07T20:06:03.000Z,2022-02-21T18:21:00.000Z,1839.0,BNB,BNB,bnb,0x9b26e16377ad29a6ccc01770bcfb56de3a36d8b2,
241,13710,Hero Floki,HERO,hero-floki,,1,0,2021-11-02T15:14:05.000Z,2022-09-22T18:19:00.000Z,1839.0,BNB,BNB,bnb,0x5d96991648d22935bdf6c7064b65c3c93f82aa61,
242,15871,BinaHero,HERO,binahero,,1,0,2021-12-23T02:09:09.000Z,2022-09-13T18:24:00.000Z,1839.0,BNB,BNB,bnb,0x78C3AdE403438B37638304F9FbbFB1b76608c1BD,
243,2042,HelloGold,HGT,hellogold,,1,0,2017-10-12T18:14:23.000Z,2021-11-03T06:59:11.000Z,1027.0,Ethereum,ETH,ethereum,0xba2184520a1cc49a6159c57e61e1844e085615b6,
244,9664,HyperGraph,HGT,hypergraph,,1,0,2021-05-12T07:18:06.000Z,2022-01-11T00:18:00.000Z,1839.0,BNB,BNB,bnb,0x680052792714e10e1ef7cda551abca8667862053,
245,14694,Hydrogentoken,HGT,hydrogentoken,,1,0,2021-11-17T13:36:05.000Z,2022-04-24T18:21:00.000Z,1839.0,BNB,BNB,bnb,0x567540c37bb25dfd0f487525c0eb11f7fa0b63a2,
246,20045,Hakuna Matata Finance,HKN,hakuna-matata-finance,,1,0,2022-05-09T13:20:00.000Z,2022-09-24T18:20:00.000Z,3635.0,Cronos,CRO,cronos,0xa60943a1b19395c999ce6c21527b6b278f3f2046,
247,1669,Humaniq,HMQ,humaniq,1537.0,1,1,2017-05-11T21:19:54.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,
248,1950,Hiveterminal Token,HVN,hiveterminal-token,1588.0,1,1,2017-09-10T03:15:20.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0xC0Eb85285d83217CD7c891702bcbC0FC401E2D9D,
